date,ending_stock
2024-12-31,95
2025-01-01,73
2025-01-02,16
2025-01-03,62
2025-01-04,179
2025-01-05,18
2025-01-06,62
2025-01-07,190
2025-01-08,48
2025-01-09,65
2025-01-10,196
2025-01-11,187
2025-01-12,105
2025-01-13,29
2025-01-14,117
2025-01-15,63
2025-01-16,126
2025-01-17,12
2025-01-18,40
2025-01-19,82
2025-01-20,83
2025-01-21,61
2025-01-22,85
2025-01-23,128
2025-01-24,177
2025-01-25,19
2025-01-26,64
2025-01-27,28
2025-01-28,9
2025-01-29,101
2025-01-30,192
2025-01-31,144
2025-02-01,59
2025-02-02,138
2025-02-03,121
2025-02-04,216
2025-02-05,14
2025-02-06,90
2025-02-07,63
2025-02-08,15
2025-02-09,59
2025-02-10,84
2025-02-11,41
2025-02-12,0
2025-02-13,216
2025-02-14,76
2025-02-15,156
2025-02-16,149
2025-02-17,12
2025-02-18,8
