date,total_sales
2024-12-31,201.96
2025-01-01,297.36
2025-01-02,44.77
2025-01-03,280.44
2025-01-04,96.05
2025-01-05,412.3
2025-01-06,341.5
2025-01-07,177.64
2025-01-08,378.6
2025-01-09,46.07
2025-01-10,288.63
2025-01-11,287.58
2025-01-12,132.78
2025-01-13,160.58
2025-01-14,111.51
2025-01-15,96.39
2025-01-16,181.8
2025-01-17,28.9
2025-01-18,63.34
2025-01-19,181.65
2025-01-20,293.94
2025-01-21,49.19
2025-01-22,92.6
2025-01-23,76.54
2025-01-24,101
2025-01-25,190.82
2025-01-26,316.89
2025-01-27,93.42
2025-01-28,48.56
2025-01-29,51.93
2025-01-30,42.98
2025-01-31,203.22
2025-02-01,89.94
2025-02-02,47.14
2025-02-03,31.8
2025-02-04,351.54
2025-02-05,173.12
2025-02-06,349.44
2025-02-07,92.2
2025-02-08,257.22
2025-02-09,6.9
2025-02-10,240.48
2025-02-11,45.78
2025-02-12,62.48
2025-02-13,140.49
2025-02-14,185.76
2025-02-15,195.08
2025-02-16,97.46
2025-02-17,60.24
2025-02-18,231.45
