Month,Project_ID,Budget,Actual_Spend
2025-01-01,Project A,100000,90000
2025-01-01,Project B,120000,132000
2025-01-01,Project C,80000,72000
2025-01-01,Project D,110000,115500
2025-02-01,Project A,100000,95000
2025-02-01,Project B,120000,126000
2025-02-01,Project C,80000,80000
2025-02-01,Project D,110000,104500
2025-03-01,Project A,100000,105000
2025-03-01,Project B,120000,114000
2025-03-01,Project C,80000,88000
2025-03-01,Project D,110000,99000
2025-04-01,Project A,100000,90000
2025-04-01,Project B,120000,120000
2025-04-01,Project C,80000,80000
2025-04-01,Project D,110000,121000
2025-05-01,Project A,100000,110000
2025-05-01,Project B,120000,132000
2025-05-01,Project C,80000,72000
2025-05-01,Project D,110000,104500
2025-06-01,Project A,100000,95000
2025-06-01,Project B,120000,108000
2025-06-01,Project C,80000,88000
2025-06-01,Project D,110000,99000
