month,item_id,avg_stock_level,stock_turnover_rate
2024-07,101,114.36,1.22
2024-07,102,50.63,4.38
2024-07,103,173.91,4.08
2024-07,104,75,4.39
2024-07,105,184.93,1.21
2024-08,101,131.06,4.24
2024-08,102,50.26,3.68
2024-08,103,53.65,3.43
2024-08,104,89.23,3.18
2024-08,105,123.94,2.98
2024-09,101,79.28,1.7
2024-09,102,63.01,2.52
2024-09,103,199.6,1.26
2024-09,104,104.4,1.11
2024-09,105,100.71,3.85
2024-10,101,126.45,2.78
2024-10,102,111.72,1.65
2024-10,103,82.31,3.09
2024-10,104,53.69,1.15
2024-10,105,125.41,2.54
2024-11,101,75.68,2.2
2024-11,102,141.64,4.37
2024-11,103,94.89,1.66
2024-11,104,137.35,2.17
2024-11,105,116.94,4.66
2024-12,101,105.46,2.19
2024-12,102,137.47,4.43
2024-12,103,69.91,4.75
2024-12,104,161.51,3.52
2024-12,105,116.61,2.93
2025-01,101,158.33,4.4
2025-01,102,163.75,3.63
2025-01,103,101.98,2.12
2025-01,104,141.74,4.06
2025-01,105,52.11,4.77
2025-02,101,195.09,3.35
2025-02,102,102.42,5
2025-02,103,97.84,3.23
2025-02,104,132.62,4.07
2025-02,105,92.96,4.04
2025-03,101,124.47,2.41
2025-03,102,199.42,1.61
2025-03,103,95.95,3.26
2025-03,104,121.19,3.81
2025-03,105,67.74,2.48
2025-04,101,122.89,4.7
2025-04,102,85.01,4.14
2025-04,103,195.18,3.61
2025-04,104,148.48,1.26
2025-04,105,87.39,1.56
2025-05,101,130.65,4.06
2025-05,102,138.2,3.74
2025-05,103,172.54,2.95
2025-05,104,159.54,3.38
2025-05,105,106.75,3.46
2025-06,101,176.95,2.6
2025-06,102,119.47,2.52
2025-06,103,51.05,4.23
2025-06,104,99.03,3.95
2025-06,105,61.76,2.29
