date,total_sales
2024-12-31,245.5
2025-01-01,84.84
2025-01-02,292.5
2025-01-03,435.96
2025-01-04,269.76
2025-01-05,19.94
2025-01-06,61.65
2025-01-07,48.09
2025-01-08,15.33
2025-01-09,47.66
2025-01-10,10.34
2025-01-11,203.35
2025-01-12,22.88
2025-01-13,29.04
2025-01-14,22.71
2025-01-15,82.88
2025-01-16,92.4
2025-01-17,33
2025-01-18,38.66
2025-01-19,116.12
2025-01-20,92.2
2025-01-21,63.12
2025-01-22,90.72
2025-01-23,319.5
2025-01-24,246.16
2025-01-25,29.29
2025-01-26,63.81
2025-01-27,312.06
2025-01-28,121.03
2025-01-29,114.32
2025-01-30,37
2025-01-31,229.55
2025-02-01,494.6
2025-02-02,145.8
2025-02-03,84.56
2025-02-04,95.52
2025-02-05,60.08
2025-02-06,11.3
2025-02-07,105.84
2025-02-08,207.54
2025-02-09,312.9
2025-02-10,90.58
2025-02-11,91.26
2025-02-12,99.04
2025-02-13,176.95
2025-02-14,107.7
2025-02-15,39.68
2025-02-16,48.9
2025-02-17,248.04
2025-02-18,405
