date,employee_id,role,shift,hours_worked
2024-12-31,1000,chef,morning,10.6
2025-01-01,1001,server,afternoon,9.6
2025-01-02,1002,manager,evening,9
2025-01-03,1003,bartender,morning,11
2025-01-04,1004,chef,afternoon,9
2025-01-05,1005,server,evening,4.8
2025-01-06,1006,manager,morning,9.8
2025-01-07,1007,bartender,afternoon,4.6
2025-01-08,1008,chef,evening,5.9
2025-01-09,1009,server,morning,10.8
2025-01-10,1010,manager,afternoon,11.7
2025-01-11,1011,bartender,evening,10.7
2025-01-12,1012,chef,morning,7.2
2025-01-13,1013,server,afternoon,6
2025-01-14,1014,manager,evening,4.6
2025-01-15,1015,bartender,morning,11.3
2025-01-16,1016,chef,afternoon,9.3
2025-01-17,1017,server,evening,7.5
2025-01-18,1018,manager,morning,10.7
2025-01-19,1019,bartender,afternoon,6.7
2025-01-20,1000,chef,evening,7.4
2025-01-21,1001,server,morning,11.1
2025-01-22,1002,manager,afternoon,4.8
2025-01-23,1003,bartender,evening,7.1
2025-01-24,1004,chef,morning,6.5
2025-01-25,1005,server,afternoon,7.4
2025-01-26,1006,manager,evening,10.9
2025-01-27,1007,bartender,morning,5.6
2025-01-28,1008,chef,afternoon,6.7
2025-01-29,1009,server,evening,6.7
2025-01-30,1010,manager,morning,4.9
2025-01-31,1011,bartender,afternoon,7.8
2025-02-01,1012,chef,evening,9.1
2025-02-02,1013,server,morning,10.4
2025-02-03,1014,manager,afternoon,8.7
2025-02-04,1015,bartender,evening,9
2025-02-05,1016,chef,morning,11.7
2025-02-06,1017,server,afternoon,9.3
2025-02-07,1018,manager,evening,10.1
2025-02-08,1019,bartender,morning,4.1
2025-02-09,1000,chef,afternoon,11.1
2025-02-10,1001,server,evening,8.3
2025-02-11,1002,manager,morning,7.7
2025-02-12,1003,bartender,afternoon,8.6
2025-02-13,1004,chef,evening,4.8
2025-02-14,1005,server,morning,9.7
2025-02-15,1006,manager,afternoon,10.4
2025-02-16,1007,bartender,evening,7.3
2025-02-17,1008,chef,morning,11.3
2025-02-18,1009,server,afternoon,5.1
