date,category,vendor,amount
2024-12-31,food,Vendor A,3180.28
2025-01-01,labor,Vendor B,3834.66
2025-01-02,utilities,Vendor C,692.84
2025-01-03,marketing,Vendor D,740.08
2025-01-04,rent,Vendor A,2933.44
2025-01-05,maintenance,Vendor B,4526.62
2025-01-06,food,Vendor C,4730.35
2025-01-07,labor,Vendor D,2048.09
2025-01-08,utilities,Vendor A,4344.37
2025-01-09,marketing,Vendor B,1064.67
2025-01-10,rent,Vendor C,777.65
2025-01-11,maintenance,Vendor D,2077.17
2025-01-12,food,Vendor A,398.75
2025-01-13,labor,Vendor B,4697.72
2025-01-14,utilities,Vendor C,2953.39
2025-01-15,marketing,Vendor D,194.06
2025-01-16,rent,Vendor A,2702.57
2025-01-17,maintenance,Vendor B,3348.86
2025-01-18,food,Vendor C,4713.62
2025-01-19,labor,Vendor D,2601.03
2025-01-20,utilities,Vendor A,3646.6
2025-01-21,marketing,Vendor B,2006.59
2025-01-22,rent,Vendor C,703.86
2025-01-23,maintenance,Vendor D,4515.23
2025-01-24,food,Vendor A,2675.61
2025-01-25,labor,Vendor B,1005.59
2025-01-26,utilities,Vendor C,3417.87
2025-01-27,marketing,Vendor D,3770.14
2025-01-28,rent,Vendor A,649.7
2025-01-29,maintenance,Vendor B,3198.84
2025-01-30,food,Vendor C,3113.99
2025-01-31,labor,Vendor D,629.6
2025-02-01,utilities,Vendor A,2858.24
2025-02-02,marketing,Vendor B,4695.46
2025-02-03,rent,Vendor C,1051.6
2025-02-04,maintenance,Vendor D,2202.44
2025-02-05,food,Vendor A,4206.91
2025-02-06,labor,Vendor B,1393.8
2025-02-07,utilities,Vendor C,1290.77
2025-02-08,marketing,Vendor D,4298.94
2025-02-09,rent,Vendor A,2579.76
2025-02-10,maintenance,Vendor B,1064.85
2025-02-11,food,Vendor C,1979.6
2025-02-12,labor,Vendor D,1151.87
2025-02-13,utilities,Vendor A,1335.53
2025-02-14,marketing,Vendor B,3614.34
2025-02-15,rent,Vendor C,507.83
2025-02-16,maintenance,Vendor D,2254.14
2025-02-17,food,Vendor A,2167.97
2025-02-18,labor,Vendor B,1795.36
