month,store_id,channel,total_sales,total_orders
2024-07,1,dine_in,67330.2,1222
2024-07,1,takeout,27066.78,1202
2024-07,1,delivery,84738.03,624
2024-07,2,dine_in,44775.42,1897
2024-07,2,takeout,43002.96,990
2024-07,2,delivery,57160.77,677
2024-07,3,dine_in,53092.84,1582
2024-07,3,takeout,58952.78,1250
2024-07,3,delivery,92143.98,673
2024-08,1,dine_in,34501.47,825
2024-08,1,takeout,44496.74,1346
2024-08,1,delivery,45906.11,1123
2024-08,2,dine_in,98586.72,521
2024-08,2,takeout,36084.4,926
2024-08,2,delivery,26145.71,1087
2024-08,3,dine_in,73260.93,668
2024-08,3,takeout,70532.78,942
2024-08,3,delivery,87575.32,937
2024-09,1,dine_in,94771.67,1489
2024-09,1,takeout,25307.13,1274
2024-09,1,delivery,57780.84,635
2024-09,2,dine_in,83499,1947
2024-09,2,takeout,76975.38,502
2024-09,2,delivery,79763.92,708
2024-09,3,dine_in,31515.99,1117
2024-09,3,takeout,23225.76,1486
2024-09,3,delivery,26433.88,1577
2024-10,1,dine_in,36562.72,840
2024-10,1,takeout,98954.67,1539
2024-10,1,delivery,75012.98,1890
2024-10,2,dine_in,49425.95,1505
2024-10,2,takeout,20184.29,844
2024-10,2,delivery,99964.4,1928
2024-10,3,dine_in,66210.46,853
2024-10,3,takeout,79048.54,1762
2024-10,3,delivery,21947.12,574
2024-11,1,dine_in,34979.91,880
2024-11,1,takeout,49182.99,1096
2024-11,1,delivery,81222.19,870
2024-11,2,dine_in,94256.92,1103
2024-11,2,takeout,65673.41,562
2024-11,2,delivery,78553.05,716
2024-11,3,dine_in,52085.13,1758
2024-11,3,takeout,36978.28,1362
2024-11,3,delivery,78204.29,732
2024-12,1,dine_in,77393.03,1938
2024-12,1,takeout,32144.5,1590
2024-12,1,delivery,65387.23,1787
2024-12,2,dine_in,86267.19,1333
2024-12,2,takeout,42940.68,650
2024-12,2,delivery,99496.41,731
2024-12,3,dine_in,96577.68,1586
2024-12,3,takeout,32515.06,1735
2024-12,3,delivery,38351.45,628
2025-01,1,dine_in,63784.93,1787
2025-01,1,takeout,33232.68,1161
2025-01,1,delivery,38813.81,1196
2025-01,2,dine_in,34101.53,1218
2025-01,2,takeout,91734.23,659
2025-01,2,delivery,78563.88,1858
2025-01,3,dine_in,53178.7,1263
2025-01,3,takeout,85157.74,953
2025-01,3,delivery,91836.76,1176
2025-02,1,dine_in,91058.98,1922
2025-02,1,takeout,70415.31,1724
2025-02,1,delivery,25582.61,1436
2025-02,2,dine_in,99521.37,1606
2025-02,2,takeout,57939.23,1104
2025-02,2,delivery,20680.01,1875
2025-02,3,dine_in,24769.44,536
2025-02,3,takeout,33383.57,1174
2025-02,3,delivery,70291.09,1882
2025-03,1,dine_in,22250.88,714
2025-03,1,takeout,50459.75,1938
2025-03,1,delivery,57455.24,1231
2025-03,2,dine_in,49632.68,584
2025-03,2,takeout,55393.95,1395
2025-03,2,delivery,92506.87,1991
2025-03,3,dine_in,42393.72,1433
2025-03,3,takeout,30649.28,1468
2025-03,3,delivery,31489.97,1339
2025-04,1,dine_in,54506.36,1537
2025-04,1,takeout,51557.46,1364
2025-04,1,delivery,76401.4,1900
2025-04,2,dine_in,95311.65,714
2025-04,2,takeout,57142.62,1407
2025-04,2,delivery,96165.26,1400
2025-04,3,dine_in,92241.88,703
2025-04,3,takeout,44922.1,862
2025-04,3,delivery,22184.83,522
2025-05,1,dine_in,83827.47,1078
2025-05,1,takeout,70836.92,1110
2025-05,1,delivery,71808.58,575
2025-05,2,dine_in,74538.05,1047
2025-05,2,takeout,50811.33,1360
2025-05,2,delivery,97029.62,1274
2025-05,3,dine_in,98785.91,1349
2025-05,3,takeout,93949.74,1171
2025-05,3,delivery,59787.92,1537
2025-06,1,dine_in,42078.56,1951
2025-06,1,takeout,62644.21,717
2025-06,1,delivery,45602.77,854
2025-06,2,dine_in,33003.7,1417
2025-06,2,takeout,52985.29,1963
2025-06,2,delivery,63534.27,1546
2025-06,3,dine_in,37101.96,676
2025-06,3,takeout,43091.2,1812
2025-06,3,delivery,84798.85,701
