month,category,total_amount
2024-07,food,26408.93
2024-07,labor,27976.2
2024-07,utilities,11525.89
2024-07,marketing,11611.37
2024-07,rent,24685.09
2024-08,food,26053.73
2024-08,labor,7832.92
2024-08,utilities,21351.32
2024-08,marketing,12280.19
2024-08,rent,8898.24
2024-09,food,8531.05
2024-09,labor,21954.25
2024-09,utilities,19759.27
2024-09,marketing,21212.74
2024-09,rent,22617.04
2024-10,food,18332.64
2024-10,labor,18440.82
2024-10,utilities,21176.96
2024-10,marketing,26321.15
2024-10,rent,14331.29
2024-11,food,15317.15
2024-11,labor,7046.48
2024-11,utilities,7003.63
2024-11,marketing,27996.07
2024-11,rent,28151.51
2024-12,food,22054.71
2024-12,labor,7084.04
2024-12,utilities,26470.61
2024-12,marketing,14198.67
2024-12,rent,13801.57
2025-01,food,17855.61
2025-01,labor,13056.2
2025-01,utilities,14124.79
2025-01,marketing,10861.93
2025-01,rent,20959.21
2025-02,food,9972.86
2025-02,labor,28219.01
2025-02,utilities,10665.28
2025-02,marketing,20621.65
2025-02,rent,26037.26
2025-03,food,18378.29
2025-03,labor,19644.79
2025-03,utilities,16965.36
2025-03,marketing,5542.41
2025-03,rent,15820.87
2025-04,food,5466.31
2025-04,labor,10823.6
2025-04,utilities,14688.72
2025-04,marketing,15049.12
2025-04,rent,25896.94
2025-05,food,27394.83
2025-05,labor,11025.88
2025-05,utilities,29136.46
2025-05,marketing,28036.09
2025-05,rent,6370.13
2025-06,food,22272.88
2025-06,labor,6218.99
2025-06,utilities,10887.61
2025-06,marketing,19194.28
2025-06,rent,27763.27
