month,campaign,total_spend,total_clicks,click_through_rate,revenue_attributed
2024-07,NewYearPromo,12362.36,5672,0.1642,26928.7
2024-07,SummerSale,11499.33,7472,0.3493,27570.05
2024-07,HolidayDiscount,12357.05,1384,0.1083,27025.31
2024-08,NewYearPromo,10989.9,7287,0.0742,8172.84
2024-08,SummerSale,5635.25,1258,0.021,8837.97
2024-08,HolidayDiscount,4710.59,8180,0.1488,17047.42
2024-09,NewYearPromo,5563.2,2564,0.0343,26073.13
2024-09,SummerSale,8409.47,4703,0.0491,12037.19
2024-09,HolidayDiscount,2614.33,2216,0.0281,22117.97
2024-10,NewYearPromo,9316.14,9181,0.1334,20458.75
2024-10,SummerSale,14496.58,3158,0.1594,29906.76
2024-10,HolidayDiscount,4498.06,2125,0.0307,18810.51
2024-11,NewYearPromo,7397.29,8879,0.1133,27095.85
2024-11,SummerSale,9748.62,5428,0.0806,22518.64
2024-11,HolidayDiscount,4765.57,2358,0.0264,15010.17
2024-12,NewYearPromo,8100.48,5909,0.2058,20501.04
2024-12,SummerSale,4034.98,9830,0.2195,20638
2024-12,HolidayDiscount,9713.86,9204,0.5334,6294.06
2025-01,NewYearPromo,10892.3,9599,0.1558,24540.1
2025-01,SummerSale,8273.29,2712,0.0329,13944.19
2025-01,HolidayDiscount,11348.35,2993,0.171,28439.95
2025-02,NewYearPromo,5001.72,1564,0.0694,29715.34
2025-02,SummerSale,12211.55,6345,0.2163,12390.48
2025-02,HolidayDiscount,7434.72,2724,0.0394,27284.93
2025-03,NewYearPromo,6736.35,1128,0.0274,25843.06
2025-03,SummerSale,10096.7,8867,0.1694,5458.64
2025-03,HolidayDiscount,10902.79,2460,0.1396,10129.63
2025-04,NewYearPromo,7598.15,4728,0.1327,8302.87
2025-04,SummerSale,10483.43,3341,0.0392,21986.95
2025-04,HolidayDiscount,13983.94,3216,0.0342,23194.61
2025-05,NewYearPromo,5924.07,3655,0.1767,24670.89
2025-05,SummerSale,7450.72,9002,0.6547,13223.85
2025-05,HolidayDiscount,7061.83,7165,0.1721,25408.61
2025-06,NewYearPromo,14856.93,1289,0.019,26065.63
2025-06,SummerSale,5938.16,3098,0.0476,27495.08
2025-06,HolidayDiscount,7907.92,8808,0.3302,13498.83
