date,campaign,spend,impressions,clicks,revenue_attributed
2024-12-31,NewYearPromo,1562.72,10111,5495,2683.75
2025-01-01,SummerSale,1959.11,12822,6064,6168.6
2025-01-02,HolidayDiscount,367.01,29543,1898,3947.13
2025-01-03,NewYearPromo,1654.18,22883,21512,6642.09
2025-01-04,SummerSale,842.37,16235,11096,2786.56
2025-01-05,HolidayDiscount,1642.57,23325,12153,3347.33
2025-01-06,NewYearPromo,1740.77,4855,1749,1283.03
2025-01-07,SummerSale,1564.35,34383,7990,9458.47
2025-01-08,HolidayDiscount,1764.32,19701,19237,7520.07
2025-01-09,NewYearPromo,1052.71,24853,14909,7153.86
2025-01-10,SummerSale,810.13,36331,10265,3190.93
2025-01-11,HolidayDiscount,481.3,33456,23562,8274.02
2025-01-12,NewYearPromo,1346.39,29235,26966,1517.79
2025-01-13,SummerSale,1214.93,13484,11197,8339.01
2025-01-14,HolidayDiscount,1908.91,10148,7859,2257.82
2025-01-15,NewYearPromo,928.77,5824,3742,7701.64
2025-01-16,SummerSale,500.1,6577,4611,6104.45
2025-01-17,HolidayDiscount,719.77,35146,28961,7869.01
2025-01-18,NewYearPromo,574.06,31111,12204,4841.99
2025-01-19,SummerSale,1510.32,49219,36131,4356.85
2025-01-20,HolidayDiscount,195.44,16172,7428,1652.08
2025-01-21,NewYearPromo,1418.34,17001,2675,8020.4
2025-01-22,SummerSale,197.91,11397,8940,9910.69
2025-01-23,HolidayDiscount,1006.71,41004,23385,9712.07
2025-01-24,NewYearPromo,124,28084,10014,7969.97
2025-01-25,SummerSale,1368.98,46039,33211,6046.41
2025-01-26,HolidayDiscount,251.15,22657,18270,5691.27
2025-01-27,NewYearPromo,1569.6,25042,6261,1307.16
2025-01-28,SummerSale,1827.61,1950,1586,6608.19
2025-01-29,HolidayDiscount,868.63,41978,21930,1098.61
2025-01-30,NewYearPromo,1860.7,27851,17083,2507.66
2025-01-31,SummerSale,1675,22999,20544,917.65
2025-02-01,HolidayDiscount,300.74,17510,10225,7845.9
2025-02-02,NewYearPromo,1168.63,28619,16722,6166.76
2025-02-03,SummerSale,1565,15267,13625,3356.52
2025-02-04,HolidayDiscount,1516.5,2148,270,1594.69
2025-02-05,NewYearPromo,1042.69,49845,30870,9215.17
2025-02-06,SummerSale,1803.47,6112,5459,3676.93
2025-02-07,HolidayDiscount,1506.64,1968,1079,2309.24
2025-02-08,NewYearPromo,811.8,20895,15800,1633.93
2025-02-09,SummerSale,559.68,34234,33368,6791.41
2025-02-10,HolidayDiscount,1842.76,18403,3544,6625.97
2025-02-11,NewYearPromo,109.29,36515,36035,7848.05
2025-02-12,SummerSale,1951.19,14604,11736,7173.83
2025-02-13,HolidayDiscount,408.64,29525,15244,5542.34
2025-02-14,NewYearPromo,404.19,48999,10786,3992.13
2025-02-15,SummerSale,227.29,25512,4192,5017.96
2025-02-16,HolidayDiscount,1294.9,7452,5781,5957.46
2025-02-17,NewYearPromo,1278.95,7321,371,8940.8
2025-02-18,SummerSale,1291.25,2528,902,2324.08
