date,store_id,channel,item_id,quantity,unit_price,total_sales
2024-12-31,1,dine_in,101,9,22.44,201.96
2025-01-01,2,takeout,102,9,33.04,297.36
2025-01-02,3,delivery,103,1,44.77,44.77
2025-01-03,4,dine_in,104,9,31.16,280.44
2025-01-04,5,takeout,105,5,19.21,96.05
2025-01-05,1,delivery,106,10,41.23,412.3
2025-01-06,2,dine_in,107,10,34.15,341.5
2025-01-07,3,takeout,108,4,44.41,177.64
2025-01-08,4,delivery,109,10,37.86,378.6
2025-01-09,5,dine_in,110,1,46.07,46.07
2025-01-10,1,takeout,101,9,32.07,288.63
2025-01-11,2,delivery,102,6,47.93,287.58
2025-01-12,3,dine_in,103,3,44.26,132.78
2025-01-13,4,takeout,104,7,22.94,160.58
2025-01-14,5,delivery,105,9,12.39,111.51
2025-01-15,1,dine_in,106,3,32.13,96.39
2025-01-16,2,takeout,107,6,30.3,181.8
2025-01-17,3,delivery,108,1,28.9,28.9
2025-01-18,4,dine_in,109,2,31.67,63.34
2025-01-19,5,takeout,110,7,25.95,181.65
2025-01-20,1,delivery,101,6,48.99,293.94
2025-01-21,2,dine_in,102,1,49.19,49.19
2025-01-22,3,takeout,103,4,23.15,92.6
2025-01-23,4,delivery,104,2,38.27,76.54
2025-01-24,5,dine_in,105,10,10.1,101
2025-01-25,1,takeout,106,7,27.26,190.82
2025-01-26,2,delivery,107,7,45.27,316.89
2025-01-27,3,dine_in,108,3,31.14,93.42
2025-01-28,4,takeout,109,2,24.28,48.56
2025-01-29,5,delivery,110,3,17.31,51.93
2025-01-30,1,dine_in,101,7,6.14,42.98
2025-01-31,2,takeout,102,9,22.58,203.22
2025-02-01,3,delivery,103,2,44.97,89.94
2025-02-02,4,dine_in,104,1,47.14,47.14
2025-02-03,5,takeout,105,5,6.36,31.8
2025-02-04,1,delivery,106,9,39.06,351.54
2025-02-05,2,dine_in,107,8,21.64,173.12
2025-02-06,3,takeout,108,7,49.92,349.44
2025-02-07,4,delivery,109,5,18.44,92.2
2025-02-08,5,dine_in,110,9,28.58,257.22
2025-02-09,1,takeout,101,1,6.9,6.9
2025-02-10,2,delivery,102,9,26.72,240.48
2025-02-11,3,dine_in,103,7,6.54,45.78
2025-02-12,4,takeout,104,4,15.62,62.48
2025-02-13,5,delivery,105,3,46.83,140.49
2025-02-14,1,dine_in,106,4,46.44,185.76
2025-02-15,2,takeout,107,4,48.77,195.08
2025-02-16,3,delivery,108,2,48.73,97.46
2025-02-17,4,dine_in,109,8,7.53,60.24
2025-02-18,5,takeout,110,5,46.29,231.45
