date,item_id,beginning_stock,received,sold,ending_stock
2024-12-31,101,165,4,118,51
2025-01-01,102,134,96,123,107
2025-01-02,103,197,98,189,106
2025-01-03,104,151,77,87,141
2025-01-04,105,191,29,163,57
2025-01-05,106,107,89,10,186
2025-01-06,107,93,27,73,47
2025-01-07,108,107,56,156,7
2025-01-08,109,92,66,39,119
2025-01-09,110,104,70,113,61
2025-01-10,101,113,45,37,121
2025-01-11,102,121,26,127,20
2025-01-12,103,60,69,50,79
2025-01-13,104,107,35,51,91
2025-01-14,105,150,44,48,146
2025-01-15,106,93,31,56,68
2025-01-16,107,117,47,22,142
2025-01-17,108,147,25,155,17
2025-01-18,109,71,58,75,54
2025-01-19,110,185,35,86,134
2025-01-20,101,106,74,92,88
2025-01-21,102,161,89,120,130
2025-01-22,103,51,92,88,55
2025-01-23,104,192,8,158,42
2025-01-24,105,88,17,5,100
2025-01-25,106,113,74,53,134
2025-01-26,107,87,62,123,26
2025-01-27,108,50,70,15,105
2025-01-28,109,141,31,93,79
2025-01-29,110,155,27,10,172
2025-01-30,101,89,37,87,39
2025-01-31,102,119,67,42,144
2025-02-01,103,96,1,1,96
2025-02-02,104,69,60,27,102
2025-02-03,105,158,94,243,9
2025-02-04,106,64,55,78,41
2025-02-05,107,118,25,0,143
2025-02-06,108,95,94,94,95
2025-02-07,109,73,30,78,25
2025-02-08,110,65,69,109,25
2025-02-09,101,179,63,64,178
2025-02-10,102,127,48,6,169
2025-02-11,103,151,62,175,38
2025-02-12,104,58,82,69,71
2025-02-13,105,95,7,40,62
2025-02-14,106,120,1,107,14
2025-02-15,107,140,39,155,24
2025-02-16,108,119,85,79,125
2025-02-17,109,126,38,161,3
2025-02-18,110,61,73,36,98
