month,role,total_hours,avg_hours_per_shift
2024-07,chef,435.99,7.04
2024-07,server,297.24,6.16
2024-07,manager,341.84,6.47
2024-08,chef,751.96,5.09
2024-08,server,484.47,4.22
2024-08,manager,365.2,5.97
2024-09,chef,538.79,5.44
2024-09,server,646.12,4.9
2024-09,manager,543.74,5.68
2024-10,chef,343.24,4.77
2024-10,server,417.83,4.89
2024-10,manager,346.74,6.1
2024-11,chef,597.09,5.93
2024-11,server,656.81,7.52
2024-11,manager,263.35,7.41
2024-12,chef,425.61,4.13
2024-12,server,691.33,6.35
2024-12,manager,542.75,4.45
2025-01,chef,282.05,7.47
2025-01,server,739.97,5.81
2025-01,manager,584.61,5.82
2025-02,chef,711.85,5.82
2025-02,server,472.07,6.8
2025-02,manager,367.37,7.03
2025-03,chef,223.39,6.18
2025-03,server,755.33,5.72
2025-03,manager,355.55,7.74
2025-04,chef,582.18,5.07
2025-04,server,663.24,4.34
2025-04,manager,753.08,4.36
2025-05,chef,394,5.25
2025-05,server,303.09,6.57
2025-05,manager,727.62,7.24
2025-06,chef,366.04,5.31
2025-06,server,741.7,4.82
2025-06,manager,579.02,7.4
